BLUE,GREEN,RED,NIR,NDVI,PAN,SAVI1,SAVI2,SAVI3,SAVI4,SAVI5,SAVI6,SAVI7,SAVI8,SAVI9,SAVI10,RED_blurred,GREEN_blurred,BLUE_blurred,NIR_blurred,NDVI_blurred,PAN_blurred,VEG
1722,2110,1624,5208,0.524590163934426,2666,0.577040734181291,0.629489769034864,0.681937268562563,0.734383232831801,0.786827661909989,0.839270555864532,0.891711914762832,0.944151738672286,0.996590027660291,1.04902678179423,1609,1911,1660,4710,0.485692954983811,2473.12197155899,1
1617,1847,1546,5084,0.533634992458522,2523.5,0.586989638165337,0.640342674429127,0.693694101322715,0.747043918918919,0.800392127290551,0.853738726510421,0.907083716651334,0.960427097786089,1.01376886998748,1.06710903332831,1518,1824,1583,4662,0.503927870622875,2397.4903258228,1
1398,1534,1351,3534,0.446878198567042,1954.25,0.491555955865796,0.536231884057971,0.58090598325589,0.625578253571867,0.670248695118207,0.714917308007205,0.759584092351147,0.804249048262311,0.848912175852965,0.893573475235366,1459,1738,1529,4508,0.505133026704446,2309.16034152181,1
1363,1636,1300,4708,0.567243675099867,2251.75,0.62395765716283,0.680669751339836,0.737379957725147,0.794088276413022,0.850794707497712,0.907499251073461,0.96420190723451,1.02090267607509,1.07760155768943,1.13429855217174,1602,1922,1707,5141,0.522438350806202,2593.62116948601,1
2656,2854,2410,7548,0.515967061658968,3867,0.567558068306203,0.619148038802193,0.670736973178153,0.722324871465296,0.773911733694834,0.825497559897978,0.877082350105937,0.928666104349922,0.980248822661137,1.03183050507079,1780,2129,1921,5775,0.5301245947766,2901.79164794806,1
1504,1700,1420,4944,0.553739786297926,2392,0.609104193837306,0.664466861506552,0.719827789387678,0.775186977562692,0.830544426113599,0.885900135122396,0.941254104671076,0.996606334841629,1.05195682571604,1.10730557737628,1647,1944,1762,5175,0.513143313297298,2632.51931247685,1
1456,1580,1367,3656,0.455703762691619,2014.75,0.501264159582728,0.546822742474916,0.592379511476519,0.637934466695863,0.683487608241266,0.729038936221037,0.774588450743476,0.820136151916876,0.865682039849519,0.911226114649682,1486,1715,1548,4278,0.476998320787857,2257.41372570156,1
1486,1656,1547,3652,0.404885554914407,2085.25,0.445365544036468,0.485843975996307,0.526320850883773,0.566796168788706,0.607269929800942,0.647742134010308,0.688212781506625,0.728681872379707,0.76914940671936,0.809615384615385,1483,1714,1522,4198,0.46929977574561,2229.72623527708,1
1614,1918,1496,5416,0.56712962962963,2611,0.623833567222696,0.680535864124302,0.737236520405654,0.793935536137955,0.850632911392405,0.907328646240199,0.964022740752528,1.02071519500058,1.07740600905553,1.13409518298857,1497,1784,1572,4522,0.49461229343269,2344.20887132228,1
1594,1751,1473,4184,0.479229273466502,2250.5,0.527142882395574,0.575054797426289,0.622965018648472,0.670873546151943,0.718780380026513,0.766685520361991,0.814588967248175,0.862490720774859,0.910390781031832,0.958289148108872,1499,1779,1613,4437,0.490326267426811,2332.33349037014,1
1659,1738,1522,4236,0.471344216741924,2288.75,0.518469634080686,0.565593414608732,0.612715558411337,0.65983606557377,0.706954936181297,0.754072170319175,0.801187768072655,0.848301729526985,0.895414054767403,0.942524743879146,1513,1730,1635,4123,0.460796494462261,2250.61520637299,1
1703,1714,1593,3758,0.40459727153803,2192,0.445048681579488,0.485498579757811,0.525946966157756,0.566393840864073,0.606839203961506,0.647283055534793,0.687725395668666,0.728166224447849,0.768605541957062,0.809043348281016,1484,1661,1595,3819,0.439453924730449,2140.11616856801,1
1391,1501,1303,3450,0.451714706501157,1911.25,0.496875723212219,0.542034839686948,0.587192056045274,0.632347372407119,0.677500788892395,0.722652305621003,0.767801922712834,0.81294964028777,0.858095458465681,0.903239377366428,1412,1594,1507,3663,0.442730525582277,2044.47517909043,1
1421,1509,1335,3460,0.443169968717414,1931.25,0.48747679923255,0.531781781781782,0.576084916480721,0.620386203444968,0.664685642790116,0.708983234631746,0.753278979085431,0.797572876266733,0.841864926291207,0.886155129274395,1431,1653,1513,3936,0.462540780378364,2133.74547140424,1
